SOURCE,TARGET,TYPE,WEIGHT
Universiteit Gent,University of Guelph,undirected,2
Ghent University,Université Pierre et Marie Curie,undirected,1
Institut des sciences de la mer de Rimouski,Station piscicole Trois-Lacs,undirected,1
La moule du large Inc.,Ressources Aquatiques Québec ,undirected,1
Lakehead University,Wilfrid Laurier University,undirected,1
Havforskningsinstituttet,Institut français de recherche pour l'exploitation de la mer,undirected,3
Eastern Charlotte Waterways,Fisheries and Oceans Canada,undirected,1
Miramichi Salmon Association,Nova Scotia Department of Fisheries & Aquaculture,undirected,1
Island Sea Farms Inc.,Taylor Shellfish Farms Canada,undirected,1
Cold Ocean Salmon Inc.,Fisheries and Oceans Canada,undirected,8
Commonwealth Scientific and Industrial Research Organisation (Australia),Fisheries and Oceans Canada,undirected,1
Université Laval,Université du Québec à Rimouski,undirected,1
Fisheries and Oceans Canada,"PEI Department of Fisheries, Aquaculture and Rural Development",undirected,2
Grant Vandenberg,Université Laval,undirected,1
"Centre for Applied Research, Technology, and Innovation",North Island College,undirected,3
Mainstream Biological,Marine Harvest Canada,undirected,1
Northern Harvest Sea Farms,University of Guelph,undirected,3
Dalhousie University,Institut français de recherche pour l'exploitation de la mer,undirected,1
Agriculture and Agri-Food Canada,Genome Atlantic,undirected,1
L’Étang Ruisseau Bar Ltd.,SK Environmental & Communications Group,undirected,1
MERINOV,"Ministère de l’Agriculture, des Pêcheries et de l’Alimentation Québec",undirected,1
Université Pierre et Marie Curie,Université de Laval,undirected,1
New Brunswick Community College,"New Brunswick Department of Agriculture, Aquaculture and Fisheries",undirected,1
University of Windsor,Yellow Island Aquaculture Ltd.,undirected,1
Pacific Marine Analysis and Research Association,Vancouver Island University,undirected,1
Ghent University,Institut français de recherche pour l'exploitation de la mer,undirected,1
University of British Columbia,Vancouver Island University - Centre for Shellfish Research,undirected,1
Lakehead University,NOAA,undirected,1
AquaBounty Canada,Huntsman Marine Science Centre,undirected,1
Limberis Seafoods Ltd.,Odyssey Shellfish Ltd.,undirected,1
Fisheries and Oceans Canada,Société de Développement de l’Industrie Maricole,undirected,1
University of New Hampshire,University of Washington,undirected,1
Fisheries and Oceans Canada,Meeker’s Aquaculture,undirected,1
Kyuquot SEAfoods Ltd.,Odyssey Shellfish Ltd.,undirected,1
Mac’s Oysters Ltd.,Marine Harvest Canada,undirected,1
Island Sea Farms Inc.,Kyuquot SEAfoods Ltd.,undirected,1
Cleanwater Shellfish Ltd.,Microthalassia Consultants Inc.,undirected,1
Grande-Entrée Aquaculture Inc.,undefined,undirected,1
Fisheries and Oceans Canada,University of Adelaide,undirected,1
Culti-Mer Inc.,Regroupement des pêcheurs propriétaires du sud de la Gaspésie,undirected,1
Fan Seafoods Ltd.,Fisheries and Oceans Canada,undirected,1
Fisheries and Oceans Canada,Pharmaq,undirected,1
Eastern Charlotte Waterways,Huntsman Marine Science Centre,undirected,1
University of Western Ontario,University of Windsor,undirected,1
Cermaq Canada,Odyssey Shellfish,undirected,1
Huntsman Marine Science Centre,University of Guelph,undirected,3
Cleanwater Shellfish Ltd.,Nelson Island Sea Farms Ltd.,undirected,1
University of New Brunswick Saint John,Vancouver Aquarium,undirected,1
Nofima,Université Laval,undirected,1
La moule du large Inc.,Université du Québec à Chicoutimi,undirected,1
Fort Folly First Nations,Parks Canada,undirected,1
Pacific Sea Cucumbers Harvesters Association,University of British Columbia,undirected,1
Cermaq Canada,University of Victoria,undirected,1
Dalhousie University,University of British Columbia,undirected,5
AquaBounty Technologies,National Research Council,undirected,1
Universiteit Gent,University of Idaho,undirected,2
Pacific Sea Cucumbers Harvesters Association,Viking Bay Ventures,undirected,1
Cooke Aquaculture Inc.,University of New Brunswick,undirected,1
Fisheries and Oceans Canada,Pacific Sea Cucumbers Harvesters Association,undirected,1
University of Victoria,Vancouver Island University,undirected,2
Mainstream Canada,Marine Harvest Canada,undirected,3
Grieg Seafood,Mainstream Biological,undirected,1
Cermaq Canada,Island Telemetrics,undirected,1
Dalhousie University,Gulf Aquaculture Association,undirected,2
Island Sea Farms Inc.,Limberis Seafoods Ltd.,undirected,1
Fisheries and Oceans Canada,L’Étang Ruisseau Bar Ltd.,undirected,4
Fisheries and Oceans Canada,Miramichi Salmon Association,undirected,1
Cermaq Canada,SEA Vision Group,undirected,3
Dalhousie University,Fisheries and Oceans Canada,undirected,4
Institut français de recherche pour l'exploitation de la mer,Université Laval,undirected,2
Fisheries and Oceans Canada,Klahoose Shellfish Limited Partnership,undirected,1
La moule du large Inc.,Moule de Culture des Îles Inc.,undirected,1
Université Laval,École des Pêches de l'Aquaculture,undirected,1
Island Scallops Ltd.,Nelson Island Sea Farms Ltd.,undirected,1
Fisheries and Oceans Canada,Nova Scotia Department of Fisheries and Aquaculture,undirected,1
Island Sea Farms Inc.,Odyssey Shellfish Ltd.,undirected,1
Mainstream Canada,Taylor Shellfish Canada ULC.,undirected,1
New Brunswick Community College,University of Idaho,undirected,1
Grieg Seafood,Marine Harvest Canada,undirected,8
Cold Ocean Salmon Inc.,Northern Harvest Sea Farms,undirected,3
Creative Salmon,Fisheries and Oceans Canada,undirected,1
Pisciculture Mont-Tremblant,Pisciculture des Appalaches,undirected,1
Grieg Seafood,University of Victoria,undirected,3
Fisheries and Oceans Canada,undefined,undirected,2
Contech,Ecoethics,undirected,1
Contech,Wilfrid Laurier University,undirected,1
Corporation Larvatria,Université Laval,undirected,1
Island Scallops Ltd.,Mac’s Oysters Ltd.,undirected,1
Fan Seafoods Ltd.,Klahoose First Nation,undirected,1
Coldwater Fisheries,Fisheries and Oceans Canada,undirected,1
Moules de culture des Îles,undefined,undirected,1
Island Scallops Ltd.,Odyssey Shellfish Ltd.,undirected,1
Margaree Fish Hatchery,Miramichi Salmon Association,undirected,1
Kyuquot SEAfoods Ltd.,Marine Harvest Canada,undirected,1
Institut français de recherche pour l'exploitation de la mer,Université de Laval,undirected,1
Pisciculture Lac St-François,Pisciculture des Appalaches,undirected,1
Cleanwater Shellfish Ltd.,Marine Harvest Canada,undirected,1
Ghent University,Université de Laval,undirected,1
"Centre for Applied Research, Technology, and Innovation",Grieg Seafood,undirected,3
NOAA,Trojan UV,undirected,1
Center for Aquaculture Technologies Canada,Huntsman Marine Science Centre,undirected,1
Fisheries and Oceans Canada,Research and Productivty Council of New Brunswick,undirected,1
Fisheries and Oceans Canada,SK Environmental & Communications Group,undirected,1
MERINOV,Station piscicole Trois-Lacs,undirected,1
Universiteit Gent,Université Pierre et Marie Curie,undirected,2
Municipality of Lord’s Cove,undefined,undirected,1
Memorial University of Newfoundland,Sapphire Sea Farms,undirected,1
Biomer,Université du Québec à Rimouski,undirected,1
University of British Columbia,Vancouver Aquarium,undirected,1
Cooke Aquaculture Inc.,New Brunswick Research and Productivity Council,undirected,1
Measuremax,NOAA,undirected,1
Pisciculture Lac St-François,Pisciculture Mont-Tremblant,undirected,1
NB Department of Environment and Local Government,Nova Scotia Department of Fisheries and Aquaculture,undirected,1
Grande-Entrée Aquaculture Inc.,Regroupement des pêcheurs propriétaires du sud de la Gaspésie,undirected,1
University of Waterloo,University of Western Ontario,undirected,1
Cleanwater Shellfish Ltd.,Little Wing Oysters Ltd.,undirected,1
Université Laval,Université de Montréal,undirected,1
Fleming College,Wilfrid Laurier University,undirected,1
University of Idaho,Université de Laval,undirected,1
Canadian Food Inspection Agency,"Mac’s Oysters Ltd., BC",undirected,1
Ecoethics,NOAA,undirected,1
University of New Brunswick Saint John,University of Victoria,undirected,5
Atlantic Canada Fish Farmers Association,"New Brunswick Department of Agriculture, Aquaculture and Fisheries",undirected,1
Cooke Aquaculture Inc.,Kyuquot SEAfoods Ltd.,undirected,2
Fisheries and Oceans Canada,University of New Brunswick Saint John,undirected,10
Fisheries and Oceans Canada,Novartis,undirected,1
Atlantic Canada Fish Farmers Association,Parks Canada,undirected,1
Institut français de recherche pour l'exploitation de la mer,Universiteit Gent,undirected,2
Institut des sciences de la mer de Rimouski,MERINOV,undirected,2
"Department of Agriculture, Aquaculture and Fisheries","Department of Natural Resources, NB",undirected,1
Grieg Seafood,Nelson Island Sea Farms Ltd.,undirected,1
Fisheries and Oceans Canada,Ontario Ministry of Agriculture and Food,undirected,1
Marine Harvest Canada,New Brunswick Research and Productivity Council,undirected,1
Cooke Aquaculture Inc.,Fisheries and Oceans Canada,undirected,12
Little Wing Oysters Ltd.,Nelson Island Sea Farms Ltd.,undirected,1
Fisheries and Oceans Canada,Technical University of Denmark,undirected,1
Fisheries and Oceans Canada,SEA Vision Group,undirected,1
Genome Atlantic,Memorial University of Newfoundland,undirected,1
Marine Harvest Canada,University of New Brunswick Saint John,undirected,1
Marine Harvest Canada,undefined,undirected,1
Centre de transfert et de sélection des salmonidés,Pisciculture Mont-Tremblant,undirected,1
Lakehead University,Measuremax,undirected,1
Cermaq Canada,Mainstream Biological,undirected,1
Fisheries and Oceans Canada,Taylor Shellfish Canada ULC.,undirected,1
AquaBounty Canada,Center for Aquaculture Technologies Canada,undirected,1
Quebec Agrifood Development Center,Université Laval,undirected,1
Station piscicole Trois-Lacs,Université Laval,undirected,2
Little Wing Oysters Ltd.,Mac’s Oysters Ltd.,undirected,1
Miawpukek First Nation,Newfoundland and Labrador,undirected,1
Atlantic Canada Fish Farmers Association,Nova Scotia Department of Fisheries and Aquaculture,undirected,1
North Island College,SEA Vision Group,undirected,3
Measuremax,Trojan UV,undirected,1
Regroupement des pêcheurs propriétaires du sud de la Gaspésie,undefined,undirected,1
Creative Salmon,SEA Vision Group,undirected,3
Atlantic Canada Fish Farmers Association,Cooke Aquaculture Inc.,undirected,1
MERINOV,MERINOV’s Centre des-Îles,undirected,1
Ecoethics,Queen’s University,undirected,1
Marine Harvest Canada,SEA Vision Group,undirected,3
Institut des sciences de la mer de Rimouski,La moule du large Inc.,undirected,4
Marine Harvest Canada,University of Victoria,undirected,2
Ecoethics,Measuremax,undirected,1
"New Brunswick Department of Agriculture, Aquaculture and Fisheries",Pisciculture Acadienne,undirected,1
Havforskningsinstituttet,Université Laval,undirected,2
Fisheries and Oceans Canada,Margaree Fish Hatchery,undirected,1
New Brunswick Research and Productivity Council,University of Victoria,undirected,1
Little Wing Oysters Ltd.,Microthalassia Consultants Inc.,undirected,1
Pec-Nord Inc.,Université du Québec à Rimouski,undirected,1
Grieg Seafood,Marine Harvest,undirected,1
Fisheries and Oceans Canada,Innovation Fisheries Products Inc.,undirected,1
Fisheries and Oceans Canada,University of Manitoba,undirected,1
